driver,grid_position,win_pct,win_mc_stderr_pct,podium_pct,podium_mc_stderr_pct,top10_pct,expected_finish,median_finish,p10_finish,p90_finish,expected_positions_gained
ANT,2,21.560000000000002,0.41123793599326414,56.989999999999995,0.49508988072874205,88.97,5.0054,3.0,1.0,17.0,-3.0054
HAM,4,18.08,0.38485238728634646,51.61,0.4997407227753208,88.91,5.2105,3.0,1.0,17.0,-1.2104999999999997
LEC,5,17.4,0.3791094828674165,50.9,0.49991899343793694,89.25,5.1912,3.0,1.0,16.0,-0.19120000000000026
RUS,6,16.470000000000002,0.3709095711895286,50.1,0.49999899999900005,88.64999999999999,5.3165,3.0,1.0,17.0,0.6835000000000004
NOR,1,7.33,0.26062829854027747,24.89,0.43237575093892583,76.46,8.1731,6.0,2.0,20.0,-7.1731
VER,3,6.04,0.23822644689454614,19.28,0.3944973510684197,78.52,8.1387,6.0,2.0,20.0,-5.1387
PIA,7,5.510000000000001,0.2281753492382558,18.39,0.38740262002211606,76.4,8.506,6.0,2.0,20.0,-1.5060000000000002
LAW,8,4.34,0.2037558342722976,14.48,0.3518990764409592,78.35,8.4602,7.0,3.0,20.0,-0.4602000000000004
COL,9,0.72,0.08454679177828098,2.7199999999999998,0.16266579234737708,56.85,10.5577,10.0,6.0,16.0,-1.5577000000000005
BOR,12,0.51,0.07123194508084137,1.8399999999999999,0.13439285695303899,43.34,12.0878,11.0,7.0,20.0,-0.08779999999999966
GAS,14,0.51,0.07123194508084137,2.06,0.14204098000225146,48.63,11.0682,11.0,7.0,16.0,2.931800000000001
HUL,11,0.48,0.06911555541265656,1.7399999999999998,0.1307564147566,43.64,12.073,11.0,7.0,20.0,-1.0730000000000004
TSU,15,0.45999999999999996,0.06766712643521963,1.76,0.1314923571923479,42.46,11.572,11.0,7.0,18.0,3.428000000000001
LIN,10,0.44,0.06618640343756413,1.9900000000000002,0.13965668619869226,50.519999999999996,11.1779,10.0,7.0,18.0,-1.1778999999999993
BEA,21,0.05,0.02235508890610816,0.27,0.05189132875539034,8.9,14.8942,15.0,11.0,20.0,6.1058
ALB,16,0.04,0.01999599959991998,0.4,0.063118935352238,11.99,14.5679,14.0,10.0,20.0,1.4321000000000002
SAI,20,0.04,0.01999599959991998,0.31,0.05559127629403736,10.89,14.7886,15.0,10.0,20.0,5.211399999999999
OCO,13,0.02,0.014140721339450827,0.24,0.04893097178679368,11.379999999999999,14.4907,14.0,10.0,20.0,-1.4907000000000004
ALO,17,0.0,0.0,0.02,0.014140721339450827,2.15,17.7245,18.0,14.0,22.0,-0.724499999999999
BOT,19,0.0,0.0,0.0,0.0,0.79,18.1346,18.0,15.0,21.0,0.8654000000000011
PER,18,0.0,0.0,0.0,0.0,0.7000000000000001,18.0526,18.0,15.0,21.0,-0.052600000000001756
STR,22,0.0,0.0,0.01,0.009999499987499374,2.25,17.8087,18.0,14.0,22.0,4.191299999999998
